case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,residual_rmse_before_correction
case_109,p95_to_p99,1000,0.2,0.2,7.783132171630859,9.180979347229002,14.838084297180142,1.173039607607338
case_109,top_p99,1000,0.2,0.2,7.783132171630859,9.180979347229002,14.838084297180142,1.173039607607338
case_110,below_p90,2500,0.5,0.5,5.942445325851442,6.862423944473265,10.958230762481676,1.150362883122839
case_110,p90_to_p95,500,0.1,0.09999999999999999,5.942445325851442,6.862423944473265,10.958230762481676,1.150362883122839
case_110,p95_to_p99,1000,0.2,0.2,5.942445325851442,6.862423944473265,10.958230762481676,1.150362883122839
case_110,top_p99,1000,0.2,0.2,5.942445325851442,6.862423944473265,10.958230762481676,1.150362883122839
case_111,below_p90,2500,0.5,0.5,3.526404452323914,5.327201390266418,13.019953222274761,1.5674157502108401
case_111,p90_to_p95,500,0.1,0.09999999999999999,3.526404452323914,5.327201390266418,13.019953222274761,1.5674157502108401
case_111,p95_to_p99,1000,0.2,0.2,3.526404452323914,5.327201390266418,13.019953222274761,1.5674157502108401
case_111,top_p99,1000,0.2,0.2,3.526404452323914,5.327201390266418,13.019953222274761,1.5674157502108401
case_114,below_p90,2500,0.5,0.5,5.740637493133547,6.512721204757687,10.346745529174791,1.1834378485753207
case_114,p90_to_p95,500,0.1,0.09999999999999999,5.740637493133547,6.512721204757687,10.346745529174791,1.1834378485753207
case_114,p95_to_p99,1000,0.2,0.2,5.740637493133547,6.512721204757687,10.346745529174791,1.1834378485753207
case_114,top_p99,1000,0.2,0.2,5.740637493133547,6.512721204757687,10.346745529174791,1.1834378485753207
case_115,below_p90,2500,0.5,0.5,8.64419755935669,10.394952774047848,16.448994159698447,1.120735076488958
case_115,p90_to_p95,500,0.1,0.09999999999999999,8.64419755935669,10.394952774047848,16.448994159698447,1.120735076488958
case_115,p95_to_p99,1000,0.2,0.2,8.64419755935669,10.394952774047848,16.448994159698447,1.120735076488958
case_115,top_p99,1000,0.2,0.2,8.64419755935669,10.394952774047848,16.448994159698447,1.120735076488958
case_116,below_p90,2500,0.5,0.5,8.049812889099123,9.626658058166502,15.341071567535392,1.1472445254669472
case_116,p90_to_p95,500,0.1,0.09999999999999999,8.049812889099123,9.626658058166502,15.341071567535392,1.1472445254669472
case_116,p95_to_p99,1000,0.2,0.2,8.049812889099123,9.626658058166502,15.341071567535392,1.1472445254669472
case_116,top_p99,1000,0.2,0.2,8.049812889099123,9.626658058166502,15.341071567535392,1.1472445254669472
case_118,below_p90,2500,0.5,0.5,7.4225030422210745,9.728425073623656,15.380120143890334,0.8308157895438146
case_118,p90_to_p95,500,0.1,0.09999999999999999,7.4225030422210745,9.728425073623656,15.380120143890334,0.8308157895438146
case_118,p95_to_p99,1000,0.2,0.2,7.4225030422210745,9.728425073623656,15.380120143890334,0.8308157895438146
case_118,top_p99,1000,0.2,0.2,7.4225030422210745,9.728425073623656,15.380120143890334,0.8308157895438146
case_119,below_p90,2500,0.5,0.5,6.877431440353393,8.03566355705261,12.864710826873766,1.1612235825718156
case_119,p90_to_p95,500,0.1,0.09999999999999999,6.877431440353393,8.03566355705261,12.864710826873766,1.1612235825718156
case_119,p95_to_p99,1000,0.2,0.2,6.877431440353393,8.03566355705261,12.864710826873766,1.1612235825718156
case_119,top_p99,1000,0.2,0.2,6.877431440353393,8.03566355705261,12.864710826873766,1.1612235825718156
case_121,below_p90,2500,0.5,0.5,6.769794368743898,7.992828512191771,12.891168012618962,1.1459067252346407
case_121,p90_to_p95,500,0.1,0.09999999999999999,6.769794368743898,7.992828512191771,12.891168012618962,1.1459067252346407
case_121,p95_to_p99,1000,0.2,0.2,6.769794368743898,7.992828512191771,12.891168012618962,1.1459067252346407
case_121,top_p99,1000,0.2,0.2,6.769794368743898,7.992828512191771,12.891168012618962,1.1459067252346407
case_122,below_p90,2500,0.5,0.5,4.8859138011932375,5.731524729728698,9.12270348548888,1.1692577176142498
case_122,p90_to_p95,500,0.1,0.09999999999999999,4.8859138011932375,5.731524729728698,9.12270348548888,1.1692577176142498
case_122,p95_to_p99,1000,0.2,0.2,4.8859138011932375,5.731524729728698,9.12270348548888,1.1692577176142498
case_122,top_p99,1000,0.2,0.2,4.8859138011932375,5.731524729728698,9.12270348548888,1.1692577176142498
case_124,below_p90,2500,0.5,0.5,7.055772066116334,8.326841783523559,13.333128252029367,1.1551176081247923
case_124,p90_to_p95,500,0.1,0.09999999999999999,7.055772066116334,8.326841783523559,13.333128252029367,1.1551176081247923
case_124,p95_to_p99,1000,0.2,0.2,7.055772066116334,8.326841783523559,13.333128252029367,1.1551176081247923
case_124,top_p99,1000,0.2,0.2,7.055772066116334,8.326841783523559,13.333128252029367,1.1551176081247923
case_125,below_p90,2500,0.5,0.5,6.6000275135040285,7.719360971450801,12.352934799194323,1.120380947037462
case_125,p90_to_p95,500,0.1,0.09999999999999999,6.6000275135040285,7.719360971450801,12.352934799194323,1.120380947037462
case_125,p95_to_p99,1000,0.2,0.2,6.6000275135040285,7.719360971450801,12.352934799194323,1.120380947037462
case_125,top_p99,1000,0.2,0.2,6.6000275135040285,7.719360971450801,12.352934799194323,1.120380947037462
case_127,below_p90,2500,0.5,0.5,6.558638811111451,7.859949254989618,12.608463897705061,1.1627399013292787
case_127,p90_to_p95,500,0.1,0.09999999999999999,6.558638811111451,7.859949254989618,12.608463897705061,1.1627399013292787
case_127,p95_to_p99,1000,0.2,0.2,6.558638811111451,7.859949254989618,12.608463897705061,1.1627399013292787
case_127,top_p99,1000,0.2,0.2,6.558638811111451,7.859949254989618,12.608463897705061,1.1627399013292787
case_128,below_p90,2500,0.5,0.5,4.805820369720459,5.586181855201721,8.927573862075796,1.1978085257204654
case_128,p90_to_p95,500,0.1,0.09999999999999999,4.805820369720459,5.586181855201721,8.927573862075796,1.1978085257204654
case_128,p95_to_p99,1000,0.2,0.2,4.805820369720459,5.586181855201721,8.927573862075796,1.1978085257204654
case_128,top_p99,1000,0.2,0.2,4.805820369720459,5.586181855201721,8.927573862075796,1.1978085257204654
case_129,below_p90,2500,0.5,0.5,6.958357095718385,8.360485506057739,12.449416322708034,0.9444383943860776
case_129,p90_to_p95,500,0.1,0.09999999999999999,6.958357095718385,8.360485506057739,12.449416322708034,0.9444383943860776
case_129,p95_to_p99,1000,0.2,0.2,6.958357095718385,8.360485506057739,12.449416322708034,0.9444383943860776
case_129,top_p99,1000,0.2,0.2,6.958357095718385,8.360485506057739,12.449416322708034,0.9444383943860776
case_130,below_p90,2500,0.5,0.5,6.539754009246829,7.741332387924194,12.371518497466973,1.1867122443870117
case_130,p90_to_p95,500,0.1,0.09999999999999999,6.539754009246829,7.741332387924194,12.371518497466973,1.1867122443870117
case_130,p95_to_p99,1000,0.2,0.2,6.539754009246829,7.741332387924194,12.371518497466973,1.1867122443870117
case_130,top_p99,1000,0.2,0.2,6.539754009246829,7.741332387924194,12.371518497466973,1.1867122443870117
case_133,below_p90,2500,0.5,0.5,6.750997686386109,8.05308094024658,12.81892926216123,1.1169812350313808
case_133,p90_to_p95,500,0.1,0.09999999999999999,6.750997686386109,8.05308094024658,12.81892926216123,1.1169812350313808
case_133,p95_to_p99,1000,0.2,0.2,6.750997686386109,8.05308094024658,12.81892926216123,1.1169812350313808
case_133,top_p99,1000,0.2,0.2,6.750997686386109,8.05308094024658,12.81892926216123,1.1169812350313808
case_136,below_p90,2500,0.5,0.5,5.139823007583619,5.935817217826843,9.499952650070178,1.20026040298355
case_136,p90_to_p95,500,0.1,0.09999999999999999,5.139823007583619,5.935817217826843,9.499952650070178,1.20026040298355
case_136,p95_to_p99,1000,0.2,0.2,5.139823007583619,5.935817217826843,9.499952650070178,1.20026040298355
case_136,top_p99,1000,0.2,0.2,5.139823007583619,5.935817217826843,9.499952650070178,1.20026040298355
case_137,below_p90,2500,0.5,0.5,4.637449979782106,5.4260913848876955,8.722746763229296,1.2112993963500303
case_137,p90_to_p95,500,0.1,0.09999999999999999,4.637449979782106,5.4260913848876955,8.722746763229296,1.2112993963500303
case_137,p95_to_p99,1000,0.2,0.2,4.637449979782106,5.4260913848876955,8.722746763229296,1.2112993963500303
case_137,top_p99,1000,0.2,0.2,4.637449979782106,5.4260913848876955,8.722746763229296,1.2112993963500303
