case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_93,case_179,93,179,0.8494992956359123,0.35795920566379785,0.8854262714201188,0.052384117111684995,0.062374982336698345,0.03259209842705364,0.19572610527384396,0.1818689406629105,0.4709405613928227,0.2828452024431924,67,77,False,difference_exceeds_integrated_presplit_screen
case_09,case_47,9,47,1.0265716493933716,0.7236079186993614,0.5245978559621863,0.1326457967918235,0.13625031252897432,0.21004355317858678,0.32978021420232473,0.40084259682249634,0.11826810821785697,0.28296363974755934,61,57,False,difference_exceeds_integrated_presplit_screen
case_108,case_199,108,199,0.5552276220175743,0.7689981712653593,0.7829455062248556,0.13011755534517006,0.14902704041278736,0.18049207871690345,0.05959088371148673,0.42256738236637736,0.36703720623318614,0.2830651574370167,61,71,False,difference_exceeds_integrated_presplit_screen
case_06,case_10,6,10,1.0942700396673013,0.20932345057827206,0.7987482692027341,0.0011404534394592763,0.011543999029118214,0.08721092228265977,0.38196030658342217,0.08410740571544592,0.38317851885691084,0.2830820770519263,30,65,False,difference_exceeds_integrated_presplit_screen
case_147,case_198,147,198,0.8175762391181136,0.44344758852460586,0.8521198030715059,0.05890784556468729,0.10471103135840935,0.1077202692110922,0.17466118471143596,0.23699304603827218,0.43759200040607077,0.2830820770519263,75,42,False,difference_exceeds_integrated_presplit_screen
case_93,case_182,93,182,1.0396389941668744,0.6896930616038471,0.5388816631853569,0.14425078510060518,0.133428982841481,0.08904638896461008,0.33993198314806355,0.3810466473783057,0.12831835947413836,0.28309899666683586,68,70,False,difference_exceeds_integrated_presplit_screen
case_171,case_191,171,191,0.9561926333599193,0.5788712027652779,0.6776736410977898,0.11249857242955184,0.10600372406851191,0.14459926732088688,0.273184102329831,0.3206436221511598,0.25567230089843157,0.28316667512647414,53,66,False,difference_exceeds_integrated_presplit_screen
case_90,case_124,90,124,0.9868001398979734,0.12248905833048893,0.9396586904134219,0.03140364621864758,0.028085493041610322,0.020398362333278953,0.2983604893152632,0.02883102380589818,0.5224607887924471,0.2832174339712028,36,58,False,difference_exceeds_integrated_presplit_screen
case_147,case_149,147,149,1.0372734593821031,0.5212814942979916,0.6469826033536275,0.13278882875293296,0.12389999687137597,0.16187208629777455,0.3379523882036445,0.2871935434749505,0.22450637023501346,0.2832174339712028,76,36,False,difference_exceeds_integrated_presplit_screen
case_18,case_168,18,168,0.8212841172325657,0.920888741335229,0.5916943807630508,0.17905557901708863,0.1902247898093773,0.23673777054049042,0.17633622658748288,0.5018019389878686,0.17151413633825693,0.28321743397120286,64,69,False,difference_exceeds_integrated_presplit_screen
