case_id,n_elements,all_elements_used,case_equaliser,coordinate_source,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max,iteration
case_139,400360,True,1.0,derived_from_exported_xy,7.001120185852052,8.312557744979857,13.217778148651119,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_141,400360,True,1.0,derived_from_exported_xy,6.175196123123171,7.26107919216156,11.077090291976921,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_142,400360,True,1.0,derived_from_exported_xy,6.654256010055542,7.779161429405209,12.231397266387924,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_144,400360,True,1.0,derived_from_exported_xy,8.429866123199465,9.57113671302795,15.136413698196405,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_145,400360,True,1.0,derived_from_exported_xy,6.4360365867614755,7.399078512191771,11.438420429229723,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_146,400360,True,1.0,derived_from_exported_xy,6.4904943943023685,7.589036440849302,12.167704410552965,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_147,400360,True,1.0,derived_from_exported_xy,7.216656684875488,8.369614458084104,13.121011762619016,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_148,400360,True,1.0,derived_from_exported_xy,6.300917434692384,7.333276700973511,11.485404291152937,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_150,400360,True,1.0,derived_from_exported_xy,6.113219213485718,7.405756855010986,10.835816211700429,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_153,400360,True,1.0,derived_from_exported_xy,6.899252128601077,8.088743019104003,12.596611623764018,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_154,400360,True,1.0,derived_from_exported_xy,5.747634983062745,6.938599348068237,10.474741182327266,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_155,400360,True,1.0,derived_from_exported_xy,6.5814643859863295,7.589083981513977,11.835097093582132,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_158,400360,True,1.0,derived_from_exported_xy,7.99565691947937,9.031450700759887,14.374462537765476,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_159,400360,True,1.0,derived_from_exported_xy,6.59002161026001,7.735206508636474,12.345149745941162,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_163,400360,True,1.0,derived_from_exported_xy,7.7857942581176784,9.154281949996946,13.400103712081906,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_166,400360,True,1.0,derived_from_exported_xy,7.0247314453125,8.191421604156492,12.85470631599426,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_169,400360,True,1.0,derived_from_exported_xy,6.967317152023317,8.090929222106933,12.841711378097514,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_170,400360,True,1.0,derived_from_exported_xy,5.600141525268558,6.727396512031555,9.981185073852506,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_173,400360,True,1.0,derived_from_exported_xy,6.56617274284363,9.599425172805786,17.56222873687742,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_175,400360,True,1.0,derived_from_exported_xy,6.440139722824097,7.760565519332886,12.505675315856932,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_179,400360,True,1.0,derived_from_exported_xy,7.400428724288941,8.778277397155762,13.768545122146582,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
