split,case_id,metric,recomputed_lambda_1,frozen_parent_v11,absolute_difference,tolerance,pass
internal_test,case_84,p99_underprediction_fraction,0.1776296770486299,0.1776296770486299,0.0,1e-06,True
internal_test,case_84,prediction_abs_max_ratio,0.760759509690329,0.760759509690329,0.0,1e-06,True
internal_test,case_84,top5pct_hotspot_overlap,0.47027675092416826,0.4702767509241682,5.551115123125783e-17,1e-06,True
internal_test,case_84,top1pct_hotspot_overlap,0.47677322677322675,0.4767732267732267,5.551115123125783e-17,1e-06,True
internal_test,case_84,top1_recall_in_predicted_top5,0.8556443556443556,0.8556443556443556,0.0,1e-06,True
internal_test,case_94,rmse,1.4306087546524209,1.4306087546524209,0.0,1.4306087546524209e-06,True
internal_test,case_94,r2,0.6517322237216183,0.6517322237216183,0.0,1e-06,True
internal_test,case_94,predicted_mean,4.472595183071315,4.472595183071315,0.0,4.472595183071314e-06,True
internal_test,case_94,predicted_p95,8.013851950750816,8.013851950750816,0.0,8.013851950750816e-06,True
internal_test,case_94,predicted_p99,10.05468767505237,10.05468767505237,0.0,1.005468767505237e-05,True
internal_test,case_94,predicted_max,19.004730179285676,19.00473017928568,3.552713678800501e-15,1.900473017928568e-05,True
internal_test,case_94,p95_relative_error,0.03829132335977251,0.0382913233597725,1.3877787807814457e-17,1e-06,True
internal_test,case_94,p99_relative_error,0.18279281688791613,0.1827928168879161,2.7755575615628914e-17,1e-06,True
internal_test,case_94,p99_underprediction_fraction,0.18279281688791613,0.1827928168879161,2.7755575615628914e-17,1e-06,True
internal_test,case_94,prediction_abs_max_ratio,0.7915457655900535,0.7915457655900535,0.0,1e-06,True
internal_test,case_94,top5pct_hotspot_overlap,0.47951843340993106,0.479518433409931,5.551115123125783e-17,1e-06,True
internal_test,case_94,top1pct_hotspot_overlap,0.45504495504495507,0.455044955044955,5.551115123125783e-17,1e-06,True
internal_test,case_94,top1_recall_in_predicted_top5,0.8334165834165834,0.8334165834165834,0.0,1e-06,True
validation,case_105,rmse,1.3547015272040583,1.3547015272040583,0.0,1.3547015272040583e-06,True
validation,case_105,r2,0.6183937875853864,0.6183937875853864,0.0,1e-06,True
validation,case_105,predicted_mean,4.23020785368272,4.23020785368272,0.0,4.23020785368272e-06,True
validation,case_105,predicted_p95,7.455937972436241,7.455937972436241,0.0,7.455937972436241e-06,True
