case_id,case_number,feature,spearman,pearson,n_elements
case_43,43,theta_sin,0.03829585090705077,0.01976382224756017,400360
case_43,43,theta_cos,-0.038295962419445474,-0.038723141493245655,400360
case_44,44,fluence_rate,0.14800727096060753,-0.20786420584426205,400360
case_44,44,temperature,-0.03524377417660812,-0.1780896550351092,400360
case_44,44,weight_loss_rate,-0.1314993968759994,-0.3212691167307661,400360
case_44,44,rho,0.017705242248224774,0.18670802901166828,400360
case_44,44,theta,0.03647003278077331,0.0603213949868063,400360
case_44,44,z,0.2101262316188816,0.15735283994178323,400360
case_44,44,theta_sin,0.03647003193818029,0.05980088439120032,400360
case_44,44,theta_cos,-0.036470125140954816,-0.05999935156456719,400360
case_45,45,fluence_rate,-0.1038834423666024,-0.34458280085862636,400360
case_45,45,temperature,-0.17915223220855683,-0.33235438970365655,400360
case_45,45,weight_loss_rate,-0.22172399957920536,-0.40789994985185885,400360
case_45,45,rho,0.13124056362015832,0.29315855583613515,400360
case_45,45,theta,0.0228893477378616,0.024945093966985594,400360
case_45,45,z,0.1318018530212025,0.11519973574943593,400360
case_45,45,theta_sin,0.022889346021880006,0.023551930634031985,400360
case_45,45,theta_cos,-0.022889434091826706,-0.03227982058135026,400360
case_47,47,fluence_rate,0.1411353245579242,-0.20827550890314372,400360
case_47,47,temperature,-0.041249480463139886,-0.19698159444863356,400360
case_47,47,weight_loss_rate,-0.03634451222035001,-0.23730669514052513,400360
case_47,47,rho,0.012869509581199041,0.18358713581250286,400360
case_47,47,theta,0.04897457084607896,0.06826550258373527,400360
case_47,47,z,0.22381466038508202,0.1680986527778356,400360
case_47,47,theta_sin,0.048974572016069154,0.06781374973557336,400360
case_47,47,theta_cos,-0.04897467365320352,-0.06732171104577107,400360
case_48,48,fluence_rate,0.14103849131034907,-0.20585664645660431,400360
case_48,48,temperature,-0.0470378208808311,-0.2059733338217694,400360
case_48,48,weight_loss_rate,-0.14032044320795314,-0.41823757185369154,400360
case_48,48,rho,-0.0016323735660551464,0.17497863616170256,400360
case_48,48,theta,0.061903244786082785,0.07375739527020224,400360
case_48,48,z,0.2328238839028327,0.17741189641033323,400360
case_48,48,theta_sin,0.0619032459129109,0.07413548820635757,400360
case_48,48,theta_cos,-0.06190331051371064,-0.0672872786222987,400360
case_49,49,fluence_rate,0.15300169587402127,-0.19574461148505942,400360
case_49,49,temperature,-0.009333252102329624,-0.17580339859452956,400360
case_49,49,weight_loss_rate,-0.0939219307185759,-0.3859946886788521,400360
case_49,49,rho,-0.021965475391883572,0.1601208969479561,400360
case_49,49,theta,0.05000166339740783,0.06773883674453762,400360
case_49,49,z,0.20046446919079233,0.15536857300473425,400360
case_49,49,theta_sin,0.05000166174159098,0.06793473307420031,400360
case_49,49,theta_cos,-0.05000170292813517,-0.06253398987038829,400360
case_51,51,fluence_rate,0.02181776565964383,-0.22935598530416984,400360
case_51,51,temperature,-0.0919089293067818,-0.22976806432730723,400360
case_51,51,weight_loss_rate,-0.1304781488580578,-0.2520620468949948,400360
case_51,51,rho,0.0659968648195629,0.21548642155427059,400360
case_51,51,theta,0.035682883207044984,0.05866210348676705,400360
case_51,51,z,0.15195658071623405,0.11900514820125106,400360
case_51,51,theta_sin,0.03568288317716166,0.05731845027177413,400360
case_51,51,theta_cos,-0.03568297326528793,-0.06402854574404258,400360
case_52,52,fluence_rate,0.06803901111529351,-0.25152331750301204,400360
case_52,52,temperature,-0.09780100924999405,-0.2262308129149451,400360
case_52,52,weight_loss_rate,-0.12324429506948384,-0.2882042428352329,400360
