case_id,case_number,n_elements,stress_mean,stress_std,stress_min,stress_p50,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,rho_normalized_mean,rho_normalized_std,rho_normalized_min,rho_normalized_p95,rho_normalized_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max
case_10,10,400360,5.735561601341293,3.1673947854851714,-2.945113,6.0166315,10.1461349,16.147419889999977,36.00317,0.05443600759316615,3.4347833844539903,0.3976389283865927,2.759705,4.36317,5.175215,386.953493130043,18.64065031471643,345.65033,426.160583,447.883667,0.3542420616844841,0.05687231374572126,0.26364,0.485288,0.631169,187.40487247626638,17.371221331188085,130.1140272242221,212.3961679627331,223.04801082514422,0.6164681963711254,0.1869200120139446,0.0,0.885382693717808,1.0,0.3441819847429735,0.14121545186802015,0.007521359556306829,0.5587407963435412,0.7734898805970666,443.4648394107654,256.9594307448851,1.784812,842.63550105,885.534973
case_11,11,400360,6.201051010972625,3.387599681843392,-3.106881,6.413199499999999,10.622379299999999,17.00291882999994,35.556187,0.056224398041762415,3.4233638439404532,0.39777581114039434,2.756908,4.352518,5.171186,439.5626743613348,10.967500685286902,361.064301,447.817444,452.977417,0.35631905676890796,0.05239559001082117,0.273428,0.493054,0.604101,187.4485986078826,17.35730301210365,130.07818340213706,212.40635990985152,223.2212184827872,0.6159388638782277,0.1863510567062197,0.0,0.8838897770126195,1.0,0.3440658771926901,0.14108590673083896,0.007524634803434118,0.5582090615722859,0.7734813004614105,443.39762379546653,256.8625095829639,1.768174,842.4624721499999,885.221191
case_12,12,400360,5.673345498373963,3.1410449263929787,-2.870369,5.9345765,10.08211455,16.14257744999998,36.231949,0.05490308722150065,3.4136348524128293,0.3964236678148079,2.772157,4.322354,5.169035,383.268050727685,19.721619486736117,345.862457,426.666046,446.356384,0.35713610512538696,0.051487136904925734,0.277737,0.494287,0.593496,187.3959105075941,17.374036257313737,130.10426762795885,212.39461564177927,223.08470140407,0.6161688061983936,0.18685690689665863,0.0,0.8850286525008957,1.0,0.3442097588622399,0.14122972266905243,0.007521218542661002,0.5587931982187835,0.7734919104600732,443.41559324493454,256.9577597992037,1.779742,842.59309425,885.485229
case_13,13,400360,5.239577947949346,2.8604114246713808,-2.607141,5.518358,9.118360299999999,14.603178619999984,30.089775,0.0539389549405535,3.3574080132081128,0.3732826919197112,2.742723,4.221429,5.116156,385.402498848876,19.127860725762204,344.830353,425.379944,447.667633,0.35663354930562496,0.05378761066332675,0.270822,0.492313,0.615237,187.2869570338446,17.37345815529089,130.04120677830258,212.29938462394233,222.80229161780062,0.6171310992599185,0.18729252881584674,0.0,0.8867746424911785,1.0,0.34425942667354653,0.14126227773390757,0.007520652477230977,0.5589238317255533,0.7734938083573552,443.13337054340093,256.88889577078675,1.775433,842.16718415,884.88092
case_14,14,400360,5.30042408525577,2.9012568809566264,-2.661698,5.5417845,9.18697725,14.805124429999992,30.952671,0.054558397442301926,3.4991156121490663,0.3551536842138995,2.797448,4.310311,5.132735,385.02027267015706,19.487098903048505,346.343658,427.431,446.496918,0.3577391181336796,0.05154051118533037,0.276686,0.495912,0.591604,187.3445102997134,17.370359443037927,130.0888106948921,212.33498962958777,222.90049771241638,0.6169018304129145,0.18715702732305828,0.0,0.8861618787207943,1.0,0.3442087128418253,0.14122432374903454,0.007521487222848117,0.5588046137365794,0.7734903226589287,443.2493186532122,256.92394630747856,1.771453,842.35351905,885.108337
case_15,15,400360,3.3780577286542117,1.8326936241806389,-1.636916,3.538018,5.832143149999999,9.363035959999984,18.940413,0.05256768907982815,3.176688511060046,0.2720817300588779,2.738358,3.788632,5.072034,389.1473958823059,18.477307207791245,347.442291,427.666748,447.967682,0.35210007665101406,0.06161114981787339,0.270008,0.495243,0.658467,186.96146133330475,17.379016556557872,129.79266389783925,211.94850401356666,222.29220543928707,0.6180441165737991,0.1878821912730299,0.0,0.8881756465670098,1.0,0.34443610916873346,0.1413712330456637,0.0075197503642416945,0.5590943467582242,0.7735093161765884,442.2732369350311,256.6335815858586,1.628299,840.875671,883.255371
case_16,16,400360,5.625429952932361,3.0860617593342337,-2.828829,5.891585,9.801409399999999,15.72046978999996,34.049545,0.054658307523229095,3.4628115439904086,0.38113877305758487,2.772629,4.341715,5.138513,389.45467823346996,18.39823740852426,347.430695,427.851379,447.88147,0.3562471520431611,0.05354922530275033,0.270893,0.491853,0.613197,187.38134726819132,17.36873883059037,130.10832949628988,212.36859629124388,222.9689053079956,0.6167635433150285,0.18704104167746197,0.0,0.8858470462400957,1.0,0.3441798578365412,0.14120614376849128,0.007520996989607745,0.5587307212680919,0.7734894510811303,443.36760019411275,256.93741606380155,1.777246,842.496521,885.345154
case_17,17,400360,5.224712666190428,2.8170961969315162,-2.631021,5.469484,8.88230505,13.956213049999974,27.741571,0.05529773204116295,3.339177342771505,0.3435494681684517,2.760015,4.130488,5.113,440.57299756171454,11.065546738307692,360.543396,448.578278,453.287659,0.3592750547307423,0.05201533804331219,0.278829,0.497217,0.614733,187.22464050033446,17.355403809346043,130.02048852071837,212.1823338689186,222.79823266368936,0.6165719215102297,0.18706430049216627,0.0,0.8855770972571654,1.0,0.34417175611780143,0.14115317352399162,0.007524486303977801,0.5585218359084471,0.7734874221847773,442.8473118788416,256.7107008317906,1.752472,841.63397505,884.13501
case_18,18,400360,5.653727981329303,3.109561443249284,-2.873627,5.9069485,9.9150277,15.8193019399999,36.459854,0.05469577380357678,3.5179468955939655,0.3797723981599812,2.794831,4.379521,5.172271,385.7846689527626,19.037512883754435,346.032135,427.071198,447.284882,0.35971403087221504,0.05231705006442933,0.278365,0.498444,0.617645,187.42944099900984,17.369465795406967,130.13201651492466,212.41583534477965,223.12534434021495,0.616145543169848,0.18678184985528817,0.0,0.8848357269722017,1.0,0.3441617598865363,0.1411956617561887,0.007522679589423531,0.5586803509115158,0.773487549855738,443.46441414013145,256.9665554320439,1.774176,842.663818,885.573486
case_19,19,400360,5.885521276351286,3.242428310509837,-2.930228,6.1872735,10.34379705,16.58169810999995,35.930405,0.05490558497352383,3.423744444180238,0.39797897646321573,2.753111,4.346604,5.169138,390.79240779794185,17.735003131156112,348.82077,430.104095,447.28598,0.3600947923069236,0.06293417882874411,0.279907,0.509549,0.661143,187.4011431564022,17.3680979504324,130.10821224191525,212.3843746007972,223.06101621000974,0.6163658165078324,0.18684856409919487,0.0,0.8851391119639894,1.0,0.3441576799459185,0.1411967854743586,0.007521241862927834,0.558677082754126,0.7734888208803682,443.4512773779373,256.93252020636515,1.785343,842.58331605,885.507263
