case_id,case_number,feature,abs_spearman,spearman,abs_spearman_rank_score,abs_standardized_difference,standardized_difference,high_stress_rank_score,combined_case_sensitivity_score
case_70,70,param_field_magnitude_scaled,0.44516355004900265,-0.44516355004900265,1.0,0.3312233602789252,-0.3312233602789252,0.4166666666666667,0.7083333333333334
case_70,70,rho,0.010459926809504593,-0.010459926809504593,0.2916666666666667,0.8971145179807091,-0.8971145179807091,0.75,0.5208333333333334
case_70,70,rho_normalized,0.010459926809504593,-0.010459926809504593,0.2916666666666667,0.8971145179807095,-0.8971145179807095,0.9166666666666666,0.6041666666666666
case_70,70,temperature,0.025360295714123675,0.025360295714123675,0.5,0.5379179360102085,0.5379179360102085,0.5833333333333334,0.5416666666666667
case_70,70,theta,0.02936729817962323,0.02936729817962323,0.6666666666666666,0.2771652496945873,0.2771652496945873,0.25,0.4583333333333333
case_70,70,theta_cos,0.02936729817962323,-0.02936729817962323,0.6666666666666666,0.42042581306812987,-0.42042581306812987,0.5,0.5833333333333333
case_70,70,theta_sin,0.02936729817962323,0.02936729817962323,0.6666666666666666,0.25254370697027245,0.25254370697027245,0.16666666666666666,0.41666666666666663
case_70,70,weight_loss_rate,0.0007047025301985631,-0.0007047025301985631,0.08333333333333333,0.2020338531331083,0.2020338531331083,0.08333333333333333,0.08333333333333333
case_70,70,z,0.2583134255372512,0.2583134255372512,0.9166666666666666,0.31510189356245394,0.31510189356245394,0.3333333333333333,0.625
case_71,71,distance_to_inner_proxy,0.11874240119918472,0.11874240119918472,0.625,0.36095090420388015,-0.36095090420388015,0.5833333333333334,0.6041666666666667
case_71,71,distance_to_outer_proxy,0.11874240119918472,-0.11874240119918472,0.625,0.36095090420388193,0.36095090420388193,0.75,0.6875
case_71,71,fluence_rate,0.04895035062937121,0.04895035062937121,0.3333333333333333,0.37770951939069075,0.37770951939069075,0.9166666666666666,0.625
case_71,71,param_field_magnitude_scaled,0.2763618557993107,-0.2763618557993107,1.0,0.309231576906262,0.309231576906262,0.4166666666666667,0.7083333333333334
case_71,71,rho,0.11874240119918472,0.11874240119918472,0.625,0.36095090420388276,-0.36095090420388276,0.8333333333333334,0.7291666666666667
case_71,71,rho_normalized,0.11874240119918472,0.11874240119918472,0.625,0.3609509042038808,-0.3609509042038808,0.6666666666666666,0.6458333333333333
case_71,71,temperature,0.11756831029528592,-0.11756831029528592,0.4166666666666667,0.47160481052219744,0.47160481052219744,1.0,0.7083333333333334
case_71,71,theta,0.03582394695649998,0.03582394695649998,0.16666666666666666,0.17945848343910728,0.17945848343910728,0.16666666666666666,0.16666666666666666
case_71,71,theta_cos,0.03582394695649998,-0.03582394695649998,0.16666666666666666,0.33101715354484,-0.33101715354484,0.5,0.3333333333333333
case_71,71,theta_sin,0.03582394695649998,0.03582394695649998,0.16666666666666666,0.1540838382793262,0.1540838382793262,0.08333333333333333,0.125
case_71,71,weight_loss_rate,0.12359783603968742,-0.12359783603968742,0.8333333333333334,0.22235304319986168,-0.22235304319986168,0.3333333333333333,0.5833333333333334
case_71,71,z,0.18473593872136915,0.18473593872136915,0.9166666666666666,0.22025435689352138,0.22025435689352138,0.25,0.5833333333333333
case_72,72,distance_to_inner_proxy,0.07655210146480602,0.07655210146480602,0.5416666666666666,0.4879440282899286,-0.4879440282899286,0.7916666666666666,0.6666666666666666
case_72,72,distance_to_outer_proxy,0.07655210146480602,-0.07655210146480602,0.5416666666666666,0.48794402828992955,0.48794402828992955,0.9166666666666666,0.7291666666666666
case_72,72,fluence_rate,0.0917475720461352,0.0917475720461352,0.75,0.43282810759803897,0.43282810759803897,0.6666666666666666,0.7083333333333333
case_72,72,param_field_magnitude_scaled,0.3865357004515822,-0.3865357004515822,1.0,0.13370068205503963,-0.13370068205503963,0.16666666666666666,0.5833333333333334
case_72,72,rho,0.07655210146480602,0.07655210146480602,0.5416666666666666,0.4879440282899286,-0.4879440282899286,0.7916666666666666,0.6666666666666666
case_72,72,rho_normalized,0.07655210146480602,0.07655210146480602,0.5416666666666666,0.48794402828993055,-0.48794402828993055,1.0,0.7708333333333333
case_72,72,temperature,0.012580087353172483,0.012580087353172483,0.08333333333333333,0.12514484294932818,0.12514484294932818,0.08333333333333333,0.08333333333333333
case_72,72,theta,0.05153177169149901,0.05153177169149901,0.25,0.18642428373439723,0.18642428373439723,0.4166666666666667,0.33333333333333337
case_72,72,theta_cos,0.05153177169149901,-0.05153177169149901,0.25,0.3151437950618264,-0.3151437950618264,0.5,0.375
case_72,72,theta_sin,0.05153177169149901,0.05153177169149901,0.25,0.16503338226052547,0.16503338226052547,0.25,0.25
case_72,72,weight_loss_rate,0.13646494576983056,-0.13646494576983056,0.8333333333333334,0.17497550898254635,-0.17497550898254635,0.3333333333333333,0.5833333333333334
case_72,72,z,0.26156241132308844,0.26156241132308844,0.9166666666666666,0.4088900086666236,0.4088900086666236,0.5833333333333334,0.75
case_73,73,distance_to_inner_proxy,0.27970031016202584,0.27970031016202584,0.625,0.9137679567848941,0.9137679567848941,0.4166666666666667,0.5208333333333334
case_73,73,distance_to_outer_proxy,0.27970031016202584,-0.27970031016202584,0.625,0.9137679567848952,-0.9137679567848952,0.625,0.625
case_73,73,fluence_rate,0.38415696467243143,-0.38415696467243143,0.9166666666666666,1.5138194885707996,-1.5138194885707996,0.9166666666666666,0.9166666666666666
case_73,73,param_field_magnitude_scaled,0.010977331380638469,-0.010977331380638469,0.16666666666666666,1.4959427779726846,1.4959427779726846,0.8333333333333334,0.5
case_73,73,rho,0.27970031016202584,0.27970031016202584,0.625,0.9137679567848952,0.9137679567848952,0.625,0.625
case_73,73,rho_normalized,0.27970031016202584,0.27970031016202584,0.625,0.9137679567848945,0.9137679567848945,0.5,0.5625
case_73,73,temperature,0.30596572665032185,-0.30596572665032185,0.8333333333333334,0.9232234371957558,-0.9232234371957558,0.75,0.7916666666666667
case_73,73,theta,0.05388091401353366,0.05388091401353366,0.3333333333333333,0.12439052371966083,-0.12439052371966083,0.16666666666666666,0.25
