case_id,case_number,feature,target,high_stress_quantile,threshold,high_n,rest_n,high_mean,rest_mean,difference_high_minus_rest,standardized_difference,abs_standardized_difference,high_median,rest_median
case_32,32,theta_cos,sigma_max_principal,0.95,10.015991249999997,20018,380342,0.9181192246034722,0.9328290762866925,-0.014709851683220365,-0.23332612300589603,0.23332612300589603,0.939420429765973,0.9427765751575343
case_32,32,rho,sigma_max_principal,0.95,10.015991249999997,20018,380342,185.18227058124307,187.81378259912535,-2.6315120178822724,-0.1523824320983161,0.1523824320983161,180.93292286776645,189.1974298244579
case_32,32,distance_to_outer_proxy,sigma_max_principal,0.95,10.015991249999997,20018,380342,38.29048264341001,35.65897062552774,2.6315120178822653,0.15238243209831567,0.15238243209831567,42.539830356886625,34.27532340019516
case_32,32,rho_normalized,sigma_max_principal,0.95,10.015991249999997,20018,380342,0.5893837828682716,0.6176033673582954,-0.028219584490023708,-0.15238243209831542,0.15238243209831542,0.5438149897132074,0.6324412056483453
case_32,32,distance_to_inner_proxy,sigma_max_principal,0.95,10.015991249999997,20018,380342,54.96078471003252,57.592296727914764,-2.631512017882244,-0.15238243209831445,0.15238243209831445,50.7114369965559,58.975943953247366
case_32,32,param_field_magnitude_scaled,sigma_max_principal,0.95,10.015991249999997,20018,380342,1.3789431284858333,1.2254830343867773,0.15346009409905603,0.1387753404069557,0.1387753404069557,1.0455217373173955,0.8406399784630638
case_32,32,temperature,sigma_max_principal,0.95,10.015991249999997,20018,380342,387.6479556857329,385.6917936338848,1.9561620518480822,0.10253313824452556,0.10253313824452556,390.752441,384.210632
case_32,32,theta,sigma_max_principal,0.95,10.015991249999997,20018,380342,0.3596230625451687,0.343224132631347,0.01639892991382169,0.09657144563966914,0.09657144563966914,0.34986081562314764,0.33993429531545166
case_32,32,fluence_rate,sigma_max_principal,0.95,10.015991249999997,20018,380342,3.975225306124488,4.00649336569193,-0.03126805956744194,-0.09239795485542594,0.09239795485542594,4.117069,3.970295
case_32,32,theta_sin,sigma_max_principal,0.95,10.015991249999997,20018,380342,0.3448737011778485,0.33330841467935607,0.011565286498492422,0.07395778012615127,0.07395778012615127,0.34276705812884356,0.33342514802310425
case_33,33,rho_normalized,sigma_max_principal,0.95,4.628666549999999,20018,380342,0.5175543383682562,0.6229822984232112,-0.10542796005495503,-0.6706083349795376,0.6706083349795376,0.5112061956550114,0.6360952389725951
case_33,33,distance_to_outer_proxy,sigma_max_principal,0.95,4.628666549999999,20018,380342,44.66603885388958,34.905251816912546,9.760787036977035,0.6706083349795366,0.6706083349795366,45.253765952773236,33.691222634669415
case_33,33,distance_to_inner_proxy,sigma_max_principal,0.95,4.628666549999999,20018,380342,47.9164888919681,57.677275928945114,-9.760787036977014,-0.6706083349795351,0.6706083349795351,47.32876179308444,58.89130511118826
case_33,33,rho,sigma_max_principal,0.95,4.628666549999999,20018,380342,178.08780915213214,187.8485961891091,-9.76078703697695,-0.6706083349795309,0.6706083349795309,177.50008205324843,189.06262537135228
case_33,33,fluence_rate,sigma_max_principal,0.95,4.628666549999999,20018,380342,3.591996201568589,3.4052611180174686,0.18673508355112034,0.5803078970455418,0.5803078970455418,3.591066,3.332587
case_33,33,weight_loss_rate,sigma_max_principal,0.95,4.628666549999999,20018,380342,0.36953268478369466,0.3499160137665575,0.019616671017137155,0.47386822786803545,0.47386822786803545,0.34422549999999996,0.343504
case_33,33,theta_cos,sigma_max_principal,0.95,4.628666549999999,20018,380342,0.9064323220328322,0.9333133597586112,-0.02688103772577899,-0.4094753505907376,0.4094753505907376,0.9049043824738221,0.9430465054157384
case_33,33,z,sigma_max_principal,0.95,4.628666549999999,20018,380342,522.1788060907684,438.53644433262957,83.6423617581388,0.3033716713246866,0.3033716713246866,553.329163,435.738525
