candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity,cv_selection_score,mean_oracle_loss_ratio,weighted_gain_mae,p90_absolute_gain_error,gain_saturation_fraction,fit_failure,outer_fold,selected_in_outer_fold
ridge__physical_9__a10__s0.75,ridge,physical_9,10.0,0.75,9,10,1.0043096190863166,0.9927727935694705,0.06640549577009626,0.09792551879672691,0.0,,3,False
ridge__physical_9__a10__s1.00,ridge,physical_9,10.0,1.0,9,10,1.0030862204528255,0.9911967745523101,0.06017341972636002,0.11744207855758687,0.0,,3,False
ridge__physical_9__a100__s0.50,ridge,physical_9,100.0,0.5,9,10,1.01040873439178,0.9960158778740437,0.08164463814856972,0.12456785405758874,0.0,,3,False
ridge__physical_9__a100__s0.75,ridge,physical_9,100.0,0.75,9,10,1.007119943454317,0.9943244561850744,0.07328023241760227,0.1093492805496477,0.0,,3,False
ridge__physical_9__a100__s1.00,ridge,physical_9,100.0,1.0,9,10,1.004301373166979,0.9928496309248376,0.06628344224123858,0.09646796036035218,0.0,,3,False
huber__physical_9__a0.001__s0.50,huber,physical_9,0.001,0.5,9,11,1.0064438272950602,0.994023419789624,0.06900413297230716,0.11039988416410791,0.0,,3,False
huber__physical_9__a0.001__s0.75,huber,physical_9,0.001,0.75,9,11,1.0021448283276175,0.9918234050599886,0.057464845574661194,0.09149877420325657,0.0,,3,False
huber__physical_9__a0.001__s1.00,huber,physical_9,0.001,1.0,9,11,1.0014365517754953,0.9901727372013497,0.05354352654749664,0.1181892383879189,0.0,,3,False
huber__physical_9__a0.01__s0.50,huber,physical_9,0.01,0.5,9,11,1.0064422022939854,0.9940230976115911,0.0690007186809026,0.1103806562860805,0.0,,3,False
huber__physical_9__a0.01__s0.75,huber,physical_9,0.01,0.75,9,11,1.0021438900945299,0.9918229653273332,0.057460006205537394,0.0914984829328574,0.0,,3,False
huber__physical_9__a0.01__s1.00,huber,physical_9,0.01,1.0,9,11,1.001432057143821,0.9901721564072827,0.05353548832453794,0.11812703808169174,0.0,,3,False
huber__physical_9__a0.1__s0.50,huber,physical_9,0.1,0.5,9,11,1.0064244423112547,0.9940194648750744,0.06896358964568375,0.11017236943224183,0.0,,3,False
huber__physical_9__a0.1__s0.75,huber,physical_9,0.1,0.75,9,11,1.00213341253033,0.9918179000759741,0.057404838764216974,0.09150057155868506,0.0,,3,False
huber__physical_9__a0.1__s1.00,huber,physical_9,0.1,1.0,9,11,1.0013790245136183,0.9901653525746436,0.053440900334977275,0.11739163810954006,0.0,,3,False
